continent,country,geo,date,trade_war,us_china_trade_war,china_trade_war,US_trade_war,Meng_Wanzhou,huawei_ban,huawei,meng_wanzhou_huawei,huawei_google_ban,huawei_android_ban,Hong_Kong_protests
Asia,United Arab Emirates,AE,2018/3/4,18,0,0,0,0,0,32,0,0,0,0
Asia,United Arab Emirates,AE,2018/3/11,18,0,0,23,0,0,34,0,0,0,0
Asia,United Arab Emirates,AE,2018/3/18,31,25,24,0,0,0,57,0,0,0,0
Asia,United Arab Emirates,AE,2018/3/25,29,26,25,25,0,0,70,0,0,0,0
Asia,United Arab Emirates,AE,2018/4/1,51,34,72,49,0,0,65,0,0,0,0
Asia,United Arab Emirates,AE,2018/4/8,49,36,69,47,0,0,51,0,0,0,0
Asia,United Arab Emirates,AE,2018/4/15,19,0,0,0,0,0,63,0,0,0,0
Asia,United Arab Emirates,AE,2018/4/22,27,0,23,23,0,0,58,0,0,0,0
Asia,United Arab Emirates,AE,2018/4/29,24,24,0,0,0,0,57,0,0,0,0
Asia,United Arab Emirates,AE,2018/5/6,37,0,23,23,0,0,45,0,0,0,0
Asia,United Arab Emirates,AE,2018/5/13,18,0,0,23,0,0,46,0,0,0,0
Asia,United Arab Emirates,AE,2018/5/20,19,0,0,24,0,0,47,0,0,0,0
Asia,United Arab Emirates,AE,2018/5/27,32,25,24,24,0,0,47,0,0,0,0
Asia,United Arab Emirates,AE,2018/6/3,38,0,24,24,0,0,52,0,0,0,0
Asia,United Arab Emirates,AE,2018/6/10,31,25,0,35,0,0,48,0,0,0,0
Asia,United Arab Emirates,AE,2018/6/17,96,47,45,38,0,0,42,0,0,0,0
Asia,United Arab Emirates,AE,2018/6/24,44,24,90,23,0,0,43,0,0,0,37
Asia,United Arab Emirates,AE,2018/7/1,97,36,46,23,0,8,44,0,0,0,0
Asia,United Arab Emirates,AE,2018/7/8,81,25,24,24,0,0,42,0,0,0,0
Asia,United Arab Emirates,AE,2018/7/15,20,0,26,0,0,0,55,0,0,0,0
Asia,United Arab Emirates,AE,2018/7/22,48,54,39,39,0,0,57,0,0,0,0
Asia,United Arab Emirates,AE,2018/7/29,54,27,26,26,0,0,60,0,0,0,0
Asia,United Arab Emirates,AE,2018/8/5,41,27,26,26,0,8,60,0,0,0,0
Asia,United Arab Emirates,AE,2018/8/12,30,0,0,0,0,8,52,0,0,0,0
Asia,United Arab Emirates,AE,2018/8/19,31,31,29,0,0,10,57,0,0,0,0
Asia,United Arab Emirates,AE,2018/8/26,47,66,25,38,0,0,55,0,0,0,41
Asia,United Arab Emirates,AE,2018/9/2,51,38,24,48,0,0,54,0,0,0,0
Asia,United Arab Emirates,AE,2018/9/9,57,50,48,48,0,0,50,0,0,0,0
Asia,United Arab Emirates,AE,2018/9/16,44,31,68,52,0,7,47,0,0,0,0
Asia,United Arab Emirates,AE,2018/9/23,47,35,33,30,0,7,48,0,0,0,0
